
# Surface 0 of 1 surfaces

# Curve title: ""main_contourtmp0.dat""

# Contour 0, label:      500
 1.9992 -4.89171  500 
 1.878 -4.87381  500 
 1.7568 -4.85651  500 
 1.6356 -4.84002  500 
 1.5144 -4.82454  500 
 1.3932 -4.81024  500 
 1.272 -4.79731  500 
 1.17298 -4.788  500 
 1.1508 -4.78572  500 
 1.0296 -4.77512  500 
 0.908397 -4.76651  500 
 0.787197 -4.76005  500 
 0.665997 -4.75588  500 
 0.544797 -4.75412  500 
 0.423597 -4.7549  500 
 0.302397 -4.75834  500 
 0.181198 -4.76452  500 
 0.0599976 -4.77355  500 
-0.0612024 -4.7855  500 
-0.0815874 -4.788  500 
-0.182402 -4.79937  500 
-0.303602 -4.8158  500 
-0.424802 -4.83504  500 
-0.546002 -4.85712  500 
-0.667202 -4.88205  500 
-0.785664 -4.9092  500 
-0.788402 -4.90978  500 
-0.909602 -4.93777  500 
-1.0308 -4.9683  500 
-1.152 -5.00135  500 
-1.25134 -5.0304  500 
-1.2732 -5.0363  500 
-1.3944 -5.07094  500 
-1.5156 -5.10765  500 
-1.6368 -5.14633  500 
-1.65268 -5.1516  500 
-1.758 -5.1839  500 
-1.8792 -5.22257  500 
-2.0004 -5.26264  500 
-2.0304 -5.2728  500 
-2.1216 -5.30137  500 
-2.2428 -5.34021  500 
-2.364 -5.37981  500 
-2.40704 -5.394  500 
-2.4852 -5.41786  500 
-2.6064 -5.45503  500 
-2.7276 -5.49227  500 
-2.80281 -5.5152  500 
-2.8488 -5.5282  500 
-2.97 -5.56185  500 
-3.0912 -5.59481  500 
-3.2124 -5.6268  500 
-3.25049 -5.6364  500 
-3.3336 -5.65583  500 
-3.4548 -5.6826  500 
-3.576 -5.70756  500 
-3.6972 -5.73038  500 
-3.8184 -5.75068  500 
-3.86682 -5.7576  500 
-3.9396 -5.76725  500 
-4.0608 -5.78019  500 
-4.182 -5.78966  500 
-4.3032 -5.79523  500 
-4.4244 -5.79644  500 
-4.5456 -5.7928  500 
-4.6668 -5.78378  500 
-4.788 -5.76883  500 
-4.85168 -5.7576  500 
-4.9092 -5.74639  500 
-5.0304 -5.71501  500 
-5.1516 -5.67498  500 
-5.24631 -5.6364  500 
-5.2728 -5.62436  500 
-5.394 -5.55831  500 
-5.4608 -5.5152  500 
-5.5152 -5.47568  500 
-5.61169 -5.394  500 
-5.6364 -5.37023  500 
-5.72457 -5.2728  500 
-5.7576 -5.23085  500 
-5.81254 -5.1516  500 
-5.8788 -5.04017  500 
-5.88396 -5.0304  500 
-5.93867 -4.9092  500 
-5.98414 -4.788  500 
-6 -4.73642  500 

 5.5515  2.2416  500 
 5.56913  2.1204  500 
 5.58554  1.9992  500 
 5.60088  1.878  500 
 5.61528  1.7568  500 
 5.62888  1.6356  500 
 5.6352  1.57613  500 
 5.64128  1.5144  500 
 5.65265  1.3932  500 
 5.66362  1.272  500 
 5.67427  1.1508  500 
 5.68469  1.0296  500 
 5.69497  0.908397  500 
 5.70519  0.787197  500 
 5.71541  0.665997  500 
